Problem Name,Wu et al.,Proposed hyperheuristic
eil51,438,-576.407071092117
berlin52,8020,-10753.3252902697
st70,706,-1129.97579218822
eil76,575,-801.210562544078
pr76,109668,-199301.357383385
rat99,1419,-2737.04666138068
kroA100,25196,-51339.5580326015
kroB100,26563,-51768.045908679
kroC100,25343,-51923.6508244258
kroD100,24771,-53533.7211293335
kroE100,26903,-55927.2625204835
rd100,7915,-18196.7541332064
eil101,658,-1230.51811037407
lin105,18194,-38513.8870024286
pr107,53056,-161289.44290881
pr124,66010,-182157.046173388
bier127,142707,-263162.78386035
ch130,7120,-16950.161391229
pr136,105618,-262457.020749286
pr144,71006,-266895.440615635
ch150,7916,-18307.5157344979
kroA150,31244,-86647.3370224977
kroB150,31407,-76946.2158304707
pr152,85616,-354239.045568618
u159,51327,-160803.553034646
rat195,2913,-8276.24281726547
d198,17962,-66253.8454243751
kroA200,35958,-125141.151571594
kroB200,36412,-118863.768655827
ts225,158748,-672177.764236034
tsp225,4701,-16877.4401625818
pr226,97348,-615470.553040728
gil262,2963,-11377.9802867924
pr264,65946,-355647.813926535
a280,2989,-14386.010290782
pr299,59786,-309732.826342057
